RegionSet,Region,Metric,Weighting,Period,SlopePerDecade,SE,phi,pValue,nStar,StartFit,EndFit,nYears
GBD,"North America, High Income",OSDMA8,pop,1990-2022,-1.6686864107494,0.41894931244429,0.40232664966768,6.80430302041285e-05,12.7112323758467,49.5774075921207,44.2376110777226,33
GBD,"Oceania",AnnualMean,area,1990-2022,-0.517406876660058,0.720694230993174,0.199636200676879,0.472801418138485,39.835999883756,22.0208872908342,20.365185285522,33
GBD,"Oceania",AnnualMean,pop,1990-2022,-0.548030192605458,0.728126833729454,-0.0117944436695892,0.451655697177373,38.6009675099415,20.611688391382,18.8579917750446,33
GBD,"Oceania",OSDMA8,area,1990-2022,-0.88355236512637,0.831554470135257,0.398647047835149,0.287994712991292,30.673883384815,25.7196279556165,22.8922603872121,33
GBD,"Oceania",OSDMA8,pop,1990-2022,-0.698484600509119,0.864874334609953,0.260090863216152,0.419312838380342,36.8293402299956,23.9438610633003,21.7087103416711,33
GBD,"Sub-Saharan Africa, Central",AnnualMean,area,1990-2022,0.516528256534903,0.543550013028319,0.116662646348894,0.341966680627262,33.0440629116436,31.718287039516,33.3711774604277,33
GBD,"Sub-Saharan Africa, Central",AnnualMean,pop,1990-2022,1.19984031548968,0.591096960179842,0.109748211888943,0.0423714187926313,19.9229360054471,30.5994237070776,34.4389127166446,33
GBD,"Sub-Saharan Africa, Central",OSDMA8,area,1990-2022,-0.252010170025833,0.578273427259486,-0.0240649593196848,0.662983587459591,55.5656759886038,39.764095066366,38.9576625222833,33
GBD,"Sub-Saharan Africa, Central",OSDMA8,pop,1990-2022,0.484671633368281,0.619318889686414,-0.0766215539322459,0.433868993654955,37.6103728776891,38.7870526607327,40.3380018875112,33
GBD,"Sub-Saharan Africa, East",AnnualMean,area,1990-2022,1.79504276989513,0.460994165775298,0.0470082706752786,9.86651108120748e-05,12.9045711113202,27.9489686183946,33.693105482059,33
GBD,"Sub-Saharan Africa, East",AnnualMean,pop,1990-2022,2.17045020130473,0.557828835092665,0.129213376333835,9.98775271858316e-05,12.9111198435079,27.4081650463606,34.3536056905357,33
GBD,"Sub-Saharan Africa, East",OSDMA8,area,1990-2022,1.50336858445452,0.345689340514793,-0.0377386366396425,1.36821697639024e-05,11.9879107584736,33.2132212719678,38.0240007422222,33
GBD,"Sub-Saharan Africa, East",OSDMA8,pop,1990-2022,1.88447946816674,0.477020146633273,0.134207666700297,7.79803249645811e-05,12.7808586163501,32.3130219208665,38.343356219,33
GBD,"Sub-Saharan Africa, Southern",AnnualMean,area,1990-2022,1.91889240030081,0.65752754536969,0.0792430494843716,0.00351894472390377,15.6400705771654,29.0563509953226,35.1968066762852,33
GBD,"Sub-Saharan Africa, Southern",AnnualMean,pop,1990-2022,2.59482389821675,0.828883079045025,0.198645673846014,0.00174505114848376,14.9251972541355,29.5998024262043,37.9032389004979,33
GBD,"Sub-Saharan Africa, Southern",OSDMA8,area,1990-2022,1.15144012080077,0.626373972740065,-0.0274063487028314,0.0660236551135399,21.2842353927201,35.0361920009109,38.7208003874734,33
GBD,"Sub-Saharan Africa, Southern",OSDMA8,pop,1990-2022,1.9832596302024,0.814738444100769,0.111092615285461,0.0149235662829287,17.6504418351677,35.1434623212264,41.489893137874,33
GBD,"Sub-Saharan Africa, West",AnnualMean,area,1990-2022,1.45645685696976,0.492619011847772,0.120665917355169,0.00311093354617972,15.5050148238413,30.6614573938634,35.3221193361666,33
GBD,"Sub-Saharan Africa, West",AnnualMean,pop,1990-2022,0.895333319849919,0.47897843554956,0.159278627702202,0.0615872049746445,21.0483132769073,32.2290766159001,35.0941432394198,33
GBD,"Sub-Saharan Africa, West",OSDMA8,area,1990-2022,0.760617386600921,0.416861549250904,0.198602301902657,0.0680571373969304,21.390136177298,36.1460151316901,38.579990768813,33
GBD,"Sub-Saharan Africa, West",OSDMA8,pop,1990-2022,0.755803916017035,0.542118126483207,0.360006158523924,0.163266782993975,25.5929108370808,36.4764832907457,38.8950558220002,33
GBD,"Unknown",AnnualMean,area,1990-2022,1.69893165016669,0.231860290801649,0.0867298800095233,2.34671550860239e-13,8.46636138688783,27.0013109861059,32.4378922666393,33
GBD,"Unknown",AnnualMean,pop,1990-2022,-0.911045130483722,0.68151372106573,0.269643903609388,0.181289084694607,26.3200250454434,28.9592774443751,26.0439330268271,33
GBD,"Unknown",OSDMA8,area,1990-2022,1.34380151858076,0.223167407552357,0.168837948356554,1.72812932567129e-09,9.64999119133632,31.2001440747427,35.5003089342011,33
GBD,"Unknown",OSDMA8,pop,1990-2022,-1.2140566754125,0.758864919579087,0.272551018180876,0.109635772017365,23.3496388008885,33.3114050891523,29.4264237278323,33
WHO,"AFRO",AnnualMean,area,1990-2022,1.53255504135389,0.390705766803576,0.0277177403948775,8.76240254501237e-05,12.8415954223906,29.7595291675485,34.663705299881,33
WHO,"AFRO",AnnualMean,pop,1990-2022,1.53210275683983,0.426784175830106,0.0835792078712181,0.000330833855080151,13.6231257641722,30.1629990611391,35.0657278830266,33
WHO,"AFRO",OSDMA8,area,1990-2022,0.860921568153964,0.328266394077091,-0.0484967332279582,0.00872537583341657,16.7946792505155,35.962440722302,38.7173897403947,33
WHO,"AFRO",OSDMA8,pop,1990-2022,1.17660012067069,0.362239015885905,0.0784514696931885,0.00116165386946333,14.5626601385436,35.4064012987327,39.1715216848789,33
WHO,"AMRO",AnnualMean,area,1990-2022,0.0525129211069067,0.207060397931805,0.361130568428919,0.799795625524531,79.7168998833937,30.4392929224462,30.6073342699883,33
WHO,"AMRO",AnnualMean,pop,1990-2022,-0.395413811175986,0.206008633714515,0.348182184180423,0.0549332155448289,20.680080003477,33.9021973337293,32.6368731379661,33
WHO,"AMRO",OSDMA8,area,1990-2022,-0.412303089649049,0.224977117856757,0.430235988354497,0.0668554479189818,21.3277150329089,35.7182378575655,34.3988679706885,33
WHO,"AMRO",OSDMA8,pop,1990-2022,-0.967498983869464,0.268580836715258,0.368038055277685,0.000315458182042145,13.5918787898374,39.7936776942272,36.6976809458449,33
WHO,"EMRO",AnnualMean,area,1990-2022,1.43667651137298,1.09045105809696,0.668160410356589,0.18766885630263,26.5763059134288,35.87415040051,40.4715152369036,33
WHO,"EMRO",AnnualMean,pop,1990-2022,1.31979960936913,0.982933018245019,0.520479691689571,0.179364044470955,26.2426149746652,39.5483006842247,43.7716594342059,33
WHO,"EMRO",OSDMA8,area,1990-2022,0.918968485197825,0.794981981495709,0.52010451685935,0.247696945554363,28.9979703296839,42.7796626117369,45.7203617643699,33
WHO,"EMRO",OSDMA8,pop,1990-2022,1.46280129352512,0.706116697479868,0.22938887706217,0.0383014456705745,19.6542851851303,45.9519939948402,50.6329581341205,33
WHO,"EURO",AnnualMean,area,1990-2022,0.608809391732903,0.425094830567364,0.301450814924716,0.152094281135603,25.1381208552047,31.9603588241754,33.9085488777207,33
WHO,"EURO",AnnualMean,pop,1990-2022,0.0555258326454379,0.505408899091788,0.454669000389318,0.91251787788464,139.239255614476,33.5534965926955,33.7311792571609,33
WHO,"EURO",OSDMA8,area,1990-2022,0.462645619768509,0.482172988335883,0.371054461899313,0.337306253973256,32.8321586746384,38.6473477050393,40.1278136882986,33
WHO,"EURO",OSDMA8,pop,1990-2022,-0.550212266162087,0.603273195579941,0.458005782686204,0.361745060298858,33.9614061632058,42.9626020758518,41.2019228241331,33
WHO,"SEARO",AnnualMean,area,1990-2022,1.04131044206248,0.544169299467554,0.201944826525591,0.0556740883666816,20.7220331908117,29.3570370915061,32.689230506106,33
WHO,"SEARO",AnnualMean,pop,1990-2022,2.22183768072881,0.530802472903866,0.169221125436174,2.84152424479729e-05,12.2973130647118,33.5502212919077,40.6601018702399,33
WHO,"SEARO",OSDMA8,area,1990-2022,1.25841289799861,0.506907716540969,0.193538762565668,0.0130453599503297,17.4207554409087,33.9845647599598,38.0114860335554,33
WHO,"SEARO",OSDMA8,pop,1990-2022,2.82100500347632,0.460199494025538,-0.0334076733087881,8.79005539584519e-10,9.53581923739571,38.6115472062605,47.6387632173847,33
WHO,"WPRO",AnnualMean,area,1990-2022,1.18844033848753,0.364966696712524,0.427005366377941,0.00112875200054547,14.5383032893247,30.0191195352909,33.822128618451,33
