RegionSet,Region,Metric,Weighting,SlopePerDecade,pValue,StartVal,EndVal,nYears
world,"Russia",SeasonAmp,pop,-0.522495211347819,0.299211561149184,2.57908098714979,10.5592619566211,33
world,"SouthAmerica",AnnualMean,area,-0.857638200978264,0.00735049297274731,24.2772643784392,24.500885815512,33
world,"SouthAmerica",AnnualMean,pop,-0.773759514377476,0.0289099558964199,24.6032674813323,25.5247798396602,33
world,"SouthAmerica",OSDMA8,area,-1.20546629828892,0.00503964546299977,25.4960815007137,26.8968886548047,33
world,"SouthAmerica",OSDMA8,pop,-0.925005800280256,0.00609713991778455,26.7399369206435,27.5255298921612,33
world,"SouthAmerica",DJF,area,-0.777792486783487,0.0364612689030847,25.0165089140558,21.6282040623764,33
world,"SouthAmerica",DJF,pop,-0.863836590918169,0.0209620396487754,25.0607147895364,23.5155005758035,33
world,"SouthAmerica",MAM,area,-0.136402208176539,0.816214775108135,24.4194680295264,24.6309246283137,33
world,"SouthAmerica",MAM,pop,-0.583655002816424,0.232842046793915,24.8855473082548,25.7057107897479,33
world,"SouthAmerica",JJA,area,-1.34646371688029,0.0105707340667196,23.7581124980057,26.9517262649365,33
world,"SouthAmerica",JJA,pop,-0.952160902717548,0.0566745027339212,24.1597460054831,27.2584415043516,33
world,"SouthAmerica",SON,area,-0.883654015354432,0.0267119853796748,23.9149680721689,24.7926883064217,33
world,"SouthAmerica",SON,pop,-0.599383374410235,0.18783021842731,24.3070618220549,25.6194664887376,33
world,"SouthAmerica",SeasonAmp,area,-0.221081340249876,0.630995039917305,1.54214275205652,7.85551451421197,33
world,"SouthAmerica",SeasonAmp,pop,0.467812741827377,0.110505649243397,1.26642183087075,6.85115411055639,33
world,"SouthCentralAsia",AnnualMean,area,2.11419084584174,0.000549774569306395,36.0335523670911,44.9121766843756,33
world,"SouthCentralAsia",AnnualMean,pop,2.54632947237005,0.000166454269371619,35.3971414479435,48.4046197201305,33
world,"SouthCentralAsia",OSDMA8,area,2.67777098786933,0.000129651352166492,37.5465690436814,50.8280712075203,33
world,"SouthCentralAsia",OSDMA8,pop,3.37025324641661,1.33718441473138e-05,38.2784251495424,54.3309839488335,33
world,"SouthCentralAsia",DJF,area,0.938079949810443,0.177653910670923,35.97627348672,37.7666407141096,33
world,"SouthCentralAsia",DJF,pop,0.509550779328833,0.429402189834349,35.3398625675723,41.88065882108,33
world,"SouthCentralAsia",MAM,area,2.67901414784987,0.000344635334024313,36.0754128388003,49.0325461113407,33
world,"SouthCentralAsia",MAM,pop,3.4454547267141,5.25375659516944e-05,35.4390019196527,54.4099776393817,33
world,"SouthCentralAsia",JJA,area,2.80699503125833,0.000616464290766005,36.0938969895762,50.9576503520839,33
world,"SouthCentralAsia",JJA,pop,4.07626209108954,0.000129651352166492,35.4574860704286,52.8836125800103,33
world,"SouthCentralAsia",SON,area,1.88893035458565,0.0115504432641527,35.988626153268,41.8918695599684,33
world,"SouthCentralAsia",SON,pop,1.84309298757842,0.016322031350919,35.3522152341204,44.4442298400502,33
world,"SouthCentralAsia",SeasonAmp,area,0.455447998955134,0.485647247096389,0.117623502856224,15.1140092585628,33
world,"SouthCentralAsia",SeasonAmp,pop,0.747421475566434,0.158542176618928,0.117623502856224,14.4606129813803,33
areacode,"CONUS",AnnualMean,area,-0.090748039465489,0.630995039917305,40.4631479323424,39.8416626094503,33
areacode,"CONUS",AnnualMean,pop,-0.263287200389156,0.220930121261474,40.6745579425728,39.4370791498752,33
areacode,"CONUS",OSDMA8,area,-1.14199947125291,0.00184333825617578,47.377085589331,44.3421879145544,33
areacode,"CONUS",OSDMA8,pop,-1.72076122557197,8.71198100904595e-06,48.8048147374634,44.3521225799747,33
areacode,"CONUS",DJF,area,1.97542237870885,2.85921518305903e-10,30.5010112081322,35.2312372641663,33
areacode,"CONUS",DJF,pop,2.16211913856882,1.27451865212556e-10,28.854812448181,33.8694847659637,33
areacode,"CONUS",MAM,area,-0.0813030070639525,0.889094789838643,44.0919804880678,44.0924470862715,33
areacode,"CONUS",MAM,pop,-0.0862606472782524,0.721562375988352,43.8399179701173,43.5057677700019,33
areacode,"CONUS",JJA,area,-1.969738707884,0.000240494138287912,48.7790434783334,42.9723030109595,33
