Year,Threshold_ugm3,Threshold_ppb,PopAbove,PctPopAbove,PctAreaAbove
2011,70,35,6252979595.41381,81.569826452872,63.8415989322842
2012,70,35,6421339052.0923,83.7660676932938,65.1540987285867
2013,70,35,5927852800.59405,77.3285626163359,57.1122888193849
2014,70,35,6240747777.22264,81.4102629564889,58.7286219691288
2015,70,35,6453746674.53907,84.1888236128354,62.4052391693344
2016,70,35,6140199432.3148,80.0986144984847,59.6951335956428
2017,70,35,6313796817.33174,82.3631842691728,61.0157640796713
2018,70,35,6342529348.88993,82.7379987999083,62.7225304824014
2019,70,35,6625064021.26997,86.4236503906894,66.4059135260536
2020,70,35,6230619504.6126,81.2781401138564,60.2169208214226
2021,70,35,6507735077.01794,84.8930997988473,65.8838159639943
2022,70,35,6634318773.59237,86.5443782020125,73.698620330965
1990,100,50,428733614.629385,5.5928099566295,5.26400223251628
1991,100,50,619991170.091899,8.08775582504719,5.8597440268161
1992,100,50,328132554.049639,4.28047382515013,3.43695433499932
1993,100,50,659654528.153149,8.60516247642459,5.43007304376691
1994,100,50,682810309.67431,8.90722856367795,5.50172908464187
1995,100,50,856252508.679745,11.1697739401021,6.55404613054535
1996,100,50,871025574.275692,11.36248789006,7.41327865118356
1997,100,50,1185915766.843,15.4702157288434,7.75178840286543
1998,100,50,1681348631.20847,21.9331142796369,10.1033137308546
1999,100,50,2080531752.99625,27.140439438834,12.1182996312113
2000,100,50,932239532.653142,12.1610211149251,7.63886249134527
2001,100,50,1122388421.39246,14.6415044777765,9.02512155402754
2002,100,50,1378675460.48424,17.9847569195675,11.0855663696594
2003,100,50,2588225365.26104,33.7632788727008,15.9773258025308
2004,100,50,1347522112.19593,17.5783629477773,10.6296442727371
2005,100,50,1147655289.72134,14.9711095937289,8.0241761093871
2006,100,50,1684294769.16893,21.9715465115791,9.72673443401789
2007,100,50,1801415715.78948,23.4993837840439,11.8311739571792
2008,100,50,2450865698.74787,31.9714284455346,12.8073308665378
2009,100,50,2379872389.92938,31.0453240514172,9.04744485429517
2010,100,50,919348596.238659,11.9928594521371,6.74841343960144
2011,100,50,1401974389.78695,18.288690362938,8.93713619208547
2012,100,50,2413597681.59543,31.4852689043142,11.5404552384106
2013,100,50,696809451.318865,9.08984671187613,4.06741780937976
2014,100,50,2135518299.07282,27.8577363614081,7.97736262593762
2015,100,50,1487898918.13095,19.4095718176297,6.49460199559011
2016,100,50,1314704605.70222,17.1502601100084,6.13767730558773
2017,100,50,2726914782.19666,35.572475831953,9.61188921933479
2018,100,50,2961669498.77046,38.6348401332794,10.9482626211626
2019,100,50,2727319508.71478,35.5777554704581,10.2064436746857
2020,100,50,1993250443.94151,26.0018588432095,6.58491593610185
2021,100,50,2439841299.17771,31.8276156686075,10.2919608202582
2022,100,50,3121558469.02751,40.7205842743864,13.1450163165377
