ISO3,CountryName,nCells,Pop,MeanAnnual_recent,MeanOSDMA8_recent,SlopeAnnual_ppb_per_decade,SlopeOSDMA8_ppb_per_decade,FracCellsSignif
ZMB,"Zambia",64,23168737.3562467,36.7668836432286,45.0756709280948,2.47419944296604,2.46413457323482,1
VNM,"Viet Nam",43,90129781.5915928,34.0168746795257,37.9700423630933,2.34731175441988,2.65515604333818,0.534883720930233
TZA,"United Republic of Tanzania",81,58142672.8529317,31.8354570890017,35.6353837678651,2.34406610837355,1.59358793709725,0.876543209876543
NPL,"Nepal",13,29480326.470386,43.4772329808744,50.5462370771897,2.28401406008425,2.63583376579025,0.769230769230769
KHM,"Cambodia",17,22077280.2265797,30.3485495899546,36.4313176788548,2.25980521871813,3.13476988337284,0.882352941176471
PAK,"Pakistan",83,198597613.215826,43.9388871329279,52.0093767253816,2.2205339887607,3.55814540057835,0.55421686746988
LKA,"Sri Lanka",13,21439157.6164143,30.3837936155919,35.870658115111,2.19593653093221,3.0040717813393,1
BWA,"Botswana",51,1798951.16998086,37.3647365448052,41.3124695488737,2.18955611090754,1.60377738133011,0.823529411764706
MRT,"Mauritania",93,4327073.09433159,33.0735424114377,36.2261583006735,2.17204713449755,1.06902872666377,0.989247311827957
TCD,"Chad",104,15515963.9200201,36.2729151692939,39.8604296681237,2.15617649105894,1.36573709543991,0.903846153846154
UZB,"Uzbekistan",49,25725324.3446979,34.7020928717191,43.2685958935742,2.1315268176321,2.39835858309609,0.142857142857143
LAO,"Lao People's Democratic Republic",20,9257344.24201202,31.5445979282952,37.4355582294203,2.10091670887654,2.6858017960849,1
UGA,"Uganda",19,43135697.9223633,35.955575492157,38.8824023143232,2.093198332666,1.58663691501465,0.789473684210526
AFG,"Afghanistan",68,43859312.5825281,38.9743008608056,46.9947693624271,2.0527084631419,2.0587918331774,0.191176470588235
NLD,"Netherlands",18,17077402.9858055,31.1470296916078,38.9918060384607,2.01327870971432,1.35123196952462,0.555555555555556
SOM,"Somalia",74,14297240.9548312,29.1240860299809,32.3502742379085,1.89143625713479,1.50182324461404,0.702702702702703
ETH,"Ethiopia",90,109480726.274632,33.4635087239647,36.8947060953305,1.86400713135821,1.40811328733318,0.8
BEL,"Belgium",14,12663713.4894562,32.6509363476483,40.7916116237619,1.85480860532899,0.926170011776249,0.642857142857143
KGZ,"Kyrgyzstan",21,9726118.00575171,38.7518272015951,47.1147023609182,1.82994146012689,2.02873788658657,0.285714285714286
TJK,"Tajikistan",14,7828741.75033331,37.1929316903878,45.6952205124132,1.81624449535376,2.06354712354567,0.0714285714285714
GRL,"Greenland",338,46450.9550001025,34.0406908058742,37.6919363744777,1.78270800418296,2.43988872405594,0.979289940828402
CYP,"Cyprus",3,1198655.31031799,43.9398163281293,49.4376280848151,1.75562555026189,0.630923859768446,0.333333333333333
MLI,"Mali",102,19644024.1116982,33.7392903456114,37.164936436741,1.72367729719409,1.17563891168127,0.970588235294118
DZA,"Algeria",221,43290238.8732533,42.3713249701944,47.1677111470491,1.72303393614239,-0.0445011143767864,0.945701357466063
